Seconds,Engine Speed - (G28),Injection Timing,Mass Air Flow - Sensor (G70),Throttle Valve Angle,Ignition - Timing Angle,Intake Air - Temperature (G42),Lambda Control - Bank 1 (actual),Lambda Control - Bank 1 Sensor 1,Accel. Pedal Pos. - Sensor 1 (G79),Cam. Adjustment - Intake B1 (act.),Boost Pressure - Control (N75),Boost Pressure - (actual)
306.68,5040,5.87,155.69,98,6,30,0.8,0.8,57,28,83.9,1920
307.17,4760,0,2.11,10.6,2.3,28,1.99,-7.8,14.8,28.5,0,1380
307.67,3920,0,13.58,11,-2.3,25,1.99,0,14.8,26,0,1040
308.15,3240,0,11.14,9.8,-3.8,25,1.99,0,14.8,26.5,0,970
308.64,2400,0,8.06,7.5,-5.3,26,1.99,0,14.8,27,0,950
309.13,2400,0,8.11,7.5,-5.3,27,1.99,0,14.8,27.5,0,930
309.61,2400,0,8.36,7.5,-5.3,27,1.99,0,14.8,27.5,0,930
310.09,2360,0,8.17,7.1,-5.3,27,1.99,0,14.8,27,0,930
310.56,2320,0,7.75,7.1,-5.3,27,1.99,0,14.8,27.5,0,920
311.04,2320,0,7.31,7.1,-4.5,28,1.99,0,14.8,27.5,0,930
311.54,2280,0,7.72,7.1,-5.3,28,1.99,0,14.8,28,0,920
312.05,2280,0,7.69,7.1,-5.3,28,1.99,0,14.8,27.5,0,920
312.53,2240,0,7.5,6.7,-5.3,28,1.99,0,14.8,28,0,930
313.01,2240,0,7.39,6.7,-5.3,29,1.99,0,14.8,27,0,920
313.5,2200,0,6.81,6.7,-4.5,29,1.99,0,14.8,27,0,920
313.98,2160,0,6.94,6.7,-5.3,29,1.99,0,14.8,27,0,920
314.47,2160,0,7.08,6.7,-5.3,29,1.99,0,14.8,27,0,920
314.95,2120,0,6.86,6.7,-5.3,29,1.99,0,14.8,27.5,0,920
315.44,2120,0,6.86,6.3,-5.3,30,1.99,0,14.8,27.5,0,920
315.96,2080,0,6.86,6.3,-4.5,30,1.99,0,14.8,27,0,920
316.44,2080,0,6.75,6.3,-4.5,30,1.99,0,14.8,27.5,0,920
316.9,2040,0,7,6.3,-5.3,30,1.99,0,14.8,27,0,920
317.41,2040,0,6.75,6.3,-5.3,30,1.99,0,14.8,27.5,0,920
317.89,2000,0,6.22,5.9,-4.5,30,1.99,0,14.8,27,0,930
318.39,2000,0,5.97,5.9,-4.5,30,1.99,0,14.8,27.5,0,930
318.88,1960,0,6.22,5.9,-5.3,30,1.99,0,14.8,27,0,920
319.36,1960,0.77,7.61,7.1,8.3,30,1.15,0,21.1,25,0,920
319.85,1920,1.28,12.19,13.7,9,30,0.88,0,25.4,-0.5,0,920
320.34,1920,2.04,19.92,15.7,27.8,30,0.88,-0.8,32.4,-12.5,0,920
320.83,1960,2.04,19.42,15.3,29.3,30,0.89,-1.6,32.4,-12.5,0,970
321.31,1960,1.79,20.72,14.9,30,30,0.97,2,32.4,-13,0,990
321.8,1960,1.79,20.69,15.7,30,30,0.99,0,33.2,-13,0,1010
322.27,1960,1.79,17.28,12.2,30.8,30,0.94,-1.6,32.8,-13,0,1020
322.78,1960,1.53,15.72,12.2,31.5,30,1,-4.7,30.5,-12.5,0,1010
323.28,1960,1.79,18.14,13.3,30.8,30,0.99,1.2,31.3,-13,0,990
323.76,1960,1.79,18.44,14.1,30.8,30,0.98,-4.7,32.4,-13,0,990
324.25,2000,1.79,21.97,16.1,29.3,30,1.02,0.8,33.6,-13,0,1000
324.74,2000,2.04,22.61,16.1,29.3,30,0.97,-0.4,34,-13,0,1020
325.22,2000,1.79,22.28,16.1,29.3,30,1.03,-5.5,34.4,-13,0,1030
325.7,2000,2.04,22.78,16.1,28.5,30,0.98,0.8,34.4,-12.5,0,1040
326.21,2040,2.04,23.39,16.5,28.5,30,0.98,-7.4,34.4,-12,0,1050
326.72,2040,2.04,23.67,16.5,27.8,30,0.99,-7,34.8,-12,0,1050
327.22,2040,2.04,23.97,16.1,27.8,30,0.98,-3.5,34.8,-10,0,1060
327.72,2040,2.04,22.42,16.1,28.5,30,0.96,-9,34.8,-11,0,1060
328.22,2040,1.79,22.22,16.1,28.5,30,1.02,-5.5,34.8,-11.5,0,1060
328.71,2040,2.04,23.22,16.1,28.5,30,0.98,-8.2,34.4,-12,0,1060
329.18,2040,2.04,23.92,16.5,27.8,30,0.99,-7.4,34.4,-11.5,0,1060
329.69,2080,1.79,23.56,16.1,28.5,30,1.02,-3.9,34.4,-11.5,0,1060
330.17,2040,1.79,20.83,14.1,30,30,0.98,-7,33.6,-12,0,1060
330.66,2080,1.53,19.81,14.5,30,30,1,-3.9,32.8,-12,0,1040
331.14,2040,1.79,20.42,14.1,30,30,0.96,-2.7,32.8,-12,0,1030
331.64,2080,1.79,20.64,14.5,30,30,1,-9,33.2,-11,0,1030
332.15,2080,1.53,20.67,14.5,30,30,1.03,-5.1,33.2,-11,0,1020
332.62,2080,1.79,20.86,14.5,30,30,0.98,-7.8,33.2,-11,0,1020
333.12,2080,1.53,20.64,14.5,30,30,1.02,-2,33.2,-12,0,1020
333.62,2080,1.53,19.58,14.1,30,30,0.99,-1.6,32.8,-12.5,0,1030
334.11,2080,1.79,20.19,13.7,30,30,0.97,-4.7,32.4,-12.5,0,1020
334.59,2080,1.53,18.17,12.9,30.8,30,1.02,-0.8,31.6,-12.5,0,1020
335.08,2080,1.53,18.5,12.5,30.8,30,0.98,-4.7,31.6,-12,0,1010
335.56,2080,1.53,17.14,12.9,31.5,30,1.02,-5.1,30.9,-12.5,0,1000
336.03,2080,1.53,17.69,13.3,30.8,30,1.01,0.8,31.6,-12.5,0,1000
336.52,2120,1.79,19.33,14.1,30.8,30,0.96,-2.7,32.4,-12.5,0,1000
337,2120,1.79,20.89,14.5,30,30,1.01,0,32.4,-12,0,1010
337.48,2120,1.79,20.47,14.5,30,30,0.98,-4.3,32.8,-12,0,1020
337.97,2120,1.79,20.36,14.5,30.8,30,1.03,-3.9,32.8,-12.5,0,1020
338.45,2120,1.79,20.11,14.1,30.8,30,0.97,2.7,32,-12,0,1020
338.94,2120,1.79,19.78,14.1,30.8,30,0.98,-4.3,32.4,-12,0,1020
339.42,2120,1.53,20,14.1,30.8,30,1.02,0,32.8,-12,0,1020
339.93,2120,1.79,20.67,14.5,30,30,0.98,-2.3,32.8,-12,0,1020
340.41,2120,1.79,20.44,14.5,30,30,1.02,-3.1,32.8,-11.5,0,1020
340.91,2120,1.53,18.78,13.7,30.8,30,1.03,2.7,32.4,-11.5,0,1030
341.39,2120,1.79,19.69,13.7,30.8,30,0.95,-0.4,31.6,-11,0,1020
341.86,2120,1.53,18.78,14.1,30.8,30,1.05,0.8,32.4,-11.5,0,1020
342.35,2120,1.79,20.17,13.7,30.8,30,0.97,2.7,32.4,-10.5,0,1020
342.83,2120,1.79,19.42,13.7,30.8,30,0.98,-3.9,32,-11.5,0,1020
343.31,2120,1.53,19.69,14.1,30.8,30,1.01,2.3,32.4,-10.5,0,1020
343.81,2120,1.79,19.78,14.1,30.8,30,0.97,-3.5,32.4,-10.5,0,1020
344.29,2120,1.79,20.42,14.1,30.8,30,1.02,0,32.4,-11,0,1020
344.78,2120,1.79,19.47,14.1,30.8,30,0.99,1.6,32.4,-11.5,0,1020
345.27,2120,1.79,19.92,13.7,30.8,30,0.98,-3.1,31.6,-11,0,1020
345.75,2120,1.28,14.86,11,32.3,30,0.98,0,30.5,-11,0,1020
346.23,2120,1.28,13.72,11,32.3,30,0.97,-6.6,28.9,-10.5,0,990
346.72,2120,1.28,14.03,11,32.3,30,1.03,-2.3,29.3,-10.5,0,970
347.2,2120,1.28,14.44,11.4,32.3,30,0.98,0.8,29.3,-9,0,960
347.69,2120,1.28,12.5,9.4,33,30,0.97,-5.1,28.1,-9,0,960
348.18,2120,1.02,11.33,9.4,33.8,30,1.01,0,26.6,-8.5,0,950
348.66,2080,1.02,11.86,9.8,33.8,30,1,-4.7,27.3,-8.5,0,940
349.16,2080,1.02,11.42,10.2,33.8,30,1.02,-2.7,27.3,-8,0,930
349.66,2080,1.28,14,11.4,33,30,0.97,1.2,28.9,-7.5,0,930
350.14,2080,1.28,14.14,11.4,32.3,30,0.98,-3.9,29.3,-10,0,940
350.63,2080,1.28,14.5,11.8,32.3,30,1.02,-0.8,29.7,-12.5,0,950
351.11,2040,1.02,9.75,9,34.5,30,0.97,-3.5,27,-12.5,0,950
351.61,2040,1.02,10.25,9,33.8,30,1.01,-5.1,25.8,-12.5,0,940
352.09,2040,1.02,10.42,9,33.8,30,0.98,-0.4,26.2,-12.5,0,930
352.57,2040,1.02,11.5,9.8,33.8,30,0.99,-4.7,26.6,-12.5,0,930
353.05,2040,1.28,13.58,11.4,33,30,1.03,-0.8,27.7,-12,0,920
353.53,2040,1.28,14.17,11,32.3,30,0.97,-3.5,28.5,-12.5,0,930
354.02,2000,0.77,9.22,8.2,34.5,30,1.04,-5.1,25.4,-12.5,0,940
354.51,2000,1.02,12.47,11,33,30,1,-2.3,27,-10.5,0,930
355,2000,1.28,13.58,11.4,32.3,30,0.98,-3.1,28.9,-9,0,930
355.5,2000,1.28,14.08,11.4,32.3,30,1.01,0.4,28.9,-8,0,940
355.99,2000,1.28,14.11,11.4,32.3,30,0.98,1.2,28.9,-9.5,0,940
356.5,2000,1.28,14.06,11.4,32.3,30,1,-3.5,28.9,-11.5,0,950
356.99,2000,1.28,14.31,11.4,32.3,30,1.02,0.8,28.9,-12.5,0,950
357.47,2000,1.28,13.78,10.6,32.3,30,0.98,-2.3,28.9,-12.5,0,950
357.96,1960,0.51,6.28,5.9,17.3,30,1.03,-0.4,16,-9.5,0,950
358.44,1960,0.51,6.03,5.9,-3,30,0.99,-0.8,14.8,26.5,0,930
358.91,1920,0,6.39,5.9,-1.5,30,1.35,-4.3,14.8,26.5,0,920
359.39,1880,0,6.42,5.9,-6,30,1.99,0,14.8,27.5,0,920
359.89,1800,0,6.08,5.5,-6.8,30,1.99,0,14.8,27.5,0,920
360.37,1760,0,5.83,5.5,-7.5,30,1.99,0,14.8,27.5,0,920
360.86,1720,0,5.33,5.1,-7.5,30,1.99,0,14.8,27.5,0,920
361.35,1680,0,5.61,5.1,-7.5,30,1.99,0,14.8,27.5,0,920
361.83,1640,0,5.25,5.1,-7.5,30,1.99,0,14.8,27,0,920
362.31,1600,0,5.31,5.1,-6.8,30,1.99,0,14.8,28,0,920
362.79,1560,0,5.14,4.7,-6.8,30,1.99,0,14.8,27.5,0,920
363.28,1560,0,4.67,4.7,-6.8,30,1.99,0,14.8,27.5,0,920
363.76,1520,0,5.17,4.7,-6.8,30,1.99,0,14.8,27.5,0,910
364.23,1520,0,4.92,4.7,-6.8,30,1.99,0,14.8,27,0,910
364.72,1480,0,4.89,4.7,-6.8,30,1.99,0,14.8,27.5,0,910
365.22,1480,0,4.81,4.7,-6.8,30,1.99,0,14.8,27.5,0,910
365.71,1440,0,4.58,4.7,-6.8,30,1.99,0,14.8,27.5,0,910
366.19,1400,0,4.67,4.7,-6.8,30,1.99,0,14.8,27.5,0,910
366.67,1400,0,4.53,4.3,-6.8,30,1.99,0,14.8,27,0,910
367.16,1360,0,4.39,4.3,-6.8,30,1.99,0,14.8,27.5,0,910
367.64,1360,0,4.11,4.3,-8.3,30,1.99,0,14.8,27,0,910
368.13,1320,0,4.44,4.3,-8.3,30,1.99,0,14.8,27,0,910
368.61,1320,0,4.22,4.3,-8.3,30,1.99,0,14.8,27.5,0,910
369.1,1280,0,4.14,3.9,-8.3,30,1.99,0,14.8,27.5,0,910
369.58,1240,0,3.97,3.9,-8.3,30,1.99,0,14.8,27,0,900
370.05,1240,0,3.89,3.9,-8.3,30,1.99,0,14.8,27.5,0,900
370.56,1200,0,3.94,3.9,-8.3,30,1.99,0,14.8,27.5,0,900
371.04,1200,0.77,3.92,3.9,-6,30,1.99,0,14.8,27.5,0,900
371.53,1160,0.77,4.56,4.7,-3,30,1.2,0,14.8,27,0,900
372.02,1120,0.77,4.58,4.7,0,31,0.93,0,14.8,27,0,900
372.5,1040,0.77,4.39,4.7,0.8,31,0.86,0,14.8,26.5,0,890
372.99,1000,0.77,4.17,4.3,3.8,31,0.85,-2,14.8,27.5,0,890
373.47,920,1.02,3.97,4.3,0,31,0.89,-4.7,14.8,27.5,0,890
373.95,840,1.02,3.69,3.9,5.3,31,0.89,-3.9,14.8,27.5,0,890
374.44,800,1.02,3.89,3.9,6.8,31,0.88,-2.3,14.8,27.5,0,890
374.93,800,1.02,3.86,3.9,6,31,0.88,-2,14.8,27.5,0,890
375.41,800,1.28,3.92,3.9,4.5,31,0.89,-2,14.8,26.5,0,890
375.89,800,1.28,3.94,3.9,4.5,31,0.88,-0.8,14.8,28,0,890
376.37,800,1.28,3.86,4.3,7.5,31,0.87,0,14.8,26,0,890
376.86,840,1.28,3.92,4.3,3.8,31,0.88,0,14.8,27.5,0,890
377.34,840,1.28,4.11,4.3,3,31,0.88,0,14.8,27.5,0,890
377.84,840,1.28,4.11,4.3,3.8,31,0.88,1.2,14.8,27.5,0,890
378.33,840,1.02,4.11,4.3,2.3,31,0.88,1.6,14.8,27,0,890
378.83,800,1.02,3.94,4.3,4.5,31,0.92,1.6,14.8,27.5,0,890
379.31,840,1.02,3.89,4.3,5.3,31,0.96,1.6,14.8,27,0,890
379.81,800,1.28,4.06,4.7,6,31,0.98,1.6,14.8,27.5,0,890
380.31,840,1.28,4.42,4.7,-1.5,31,1,2,14.8,27.5,0,890
380.81,840,1.28,4.31,4.3,-2.3,31,1.05,2.3,14.8,27.5,0,890
381.3,840,1.28,4.42,4.3,-1.5,31,1.02,6.3,14.8,27.5,0,890
381.77,840,1.28,4.31,4.3,0,31,0.98,6.3,14.8,27,0,900
382.25,840,1.28,4.31,4.3,7.5,31,0.98,4.7,14.8,27,0,890
382.75,1320,3.06,15.56,20.4,20.3,31,0.96,5.9,41.4,19.5,52.5,890
383.23,1760,3.06,28,26.3,20.3,31,1.02,-2.3,41.4,9.5,38.8,930
383.72,1360,2.81,16.08,14.5,13.5,31,1.03,5.9,32,9.5,0,1000
384.22,1520,2.55,17.64,14.1,17.3,31,0.97,4.3,34,-4.5,0,1000
384.7,1880,2.04,18.44,13.7,29.3,30,0.97,-0.4,34.4,-12.5,0,1000
385.19,2160,1.79,21.83,15.3,30,30,1.03,0.8,34.8,-13,0,1010
385.67,2400,1.02,11.44,7.5,-8.3,30,0.98,-1.6,34.4,-13,0,1010
386.16,1960,0.51,5.78,5.9,-6,30,1.01,-3.5,14.8,22.5,0,970
386.64,1680,0.77,7.67,7.8,15,30,0.98,1.2,23,23.5,0,930
387.13,1560,2.29,19.69,17.6,12,30,1,-4.7,34.8,6.5,0,900
387.63,1760,2.29,25.17,22.4,21,30,1.05,-0.4,41,9,5.9,960
388.09,2000,2.81,33.33,25.1,21,30,0.98,0.4,41.4,9,10.2,1040
388.6,2240,2.81,34.83,25.5,22.5,30,1.01,0.4,42.2,9,8.6,1110
389.11,2520,2.81,41.36,27.5,21.8,30,1.01,8.6,42.2,5,0.8,1120
389.6,2800,2.81,44.97,30.2,22.5,30,0.98,4.3,42.6,0,0.8,1130
390.08,3080,2.81,52.78,32.2,23.3,30,0.98,5.9,42.6,3,0.8,1130
390.56,3360,2.81,57.75,23.9,15,30,0.93,4.3,42.6,13,0.8,1130
391.06,3120,0.51,7.53,8.6,-2.3,28,1,-2.3,14.8,26.5,0,1080
391.56,2720,0.77,10.25,12.9,21,28,1,2,16,26,0,980
392.05,2480,2.29,32.39,26.7,22.5,28,1,-1.6,35.2,11.5,0,960
392.52,2560,2.81,45.39,31.4,21,29,1.03,0,45.7,14,8.6,1090
393.01,2680,1.53,23.17,17.3,26.3,29,0.99,5.5,35.2,16,0,1100
393.5,2760,2.81,53.19,37.3,21.8,28,0.98,-0.8,41.8,-10,0.8,1010
393.98,2920,3.57,69.14,63.9,15.8,30,1.02,0.8,53.1,25.5,53.3,1320
394.45,3120,4.34,84.5,98,10.5,30,0.99,7.4,53.1,27.5,48.6,1630
394.94,3360,4.59,92.56,99.6,12.8,30,0.97,4.3,53.1,27,55.3,1730
395.44,3600,4.59,100.72,96.9,9.8,30,0.88,3.1,53.1,27.5,54.1,1760
395.92,3640,0,8.89,7.5,-5.3,28,1.99,-3.1,14.8,27,0,1430
396.43,2920,0,7.72,8.6,-4.5,25,1.99,0,14.8,26.5,0,1040
396.93,2760,1.53,21.06,13.3,7.5,25,0.83,0,28.1,18.5,0,950
397.41,2800,2.29,35.33,20.4,24.8,27,0.87,-2.7,36.7,-4.5,0,990
397.89,2840,1.02,5.42,10.2,36,27,0.94,-1.2,31.6,-13.5,0,1090
398.38,2840,0.51,8.72,8.6,29.3,27,0.99,1.2,21.5,-7,0,980
398.86,2800,0.51,9.97,8.6,7.5,27,1.01,2.3,18.8,6,0,940
399.36,2800,0.51,10.11,8.6,-4.5,27,1.01,1.6,17.6,26,0,920
399.86,2760,0,10.06,8.6,-4.5,27,1.99,0,18,26.5,0,920
400.37,2720,0.77,9.64,8.2,-3.8,28,0.86,0,18.8,24,0,920
400.86,2720,0.77,9.81,8.6,0.8,28,0.87,0,20.7,5.5,0,920
401.37,2680,0.77,9.17,8.2,14.3,28,0.86,2,24.2,5.5,0,920
401.87,2640,0.77,10.22,8.6,18,28,0.85,0,25,4,0,920
402.34,2600,1.28,14.67,15.7,4.5,28,0.86,-0.4,25,0.5,0,910
402.83,2600,1.53,24.72,16.1,25.5,29,1.02,-2.3,33.2,-10,0,940
403.31,2600,1.53,21.28,14.1,28.5,30,0.99,-1.2,32.4,-13.5,0,1010
403.8,2600,1.02,16.06,12.2,32.3,30,0.99,-1.2,29.7,-13.5,0,1020
404.28,2600,1.02,14.03,11,34.5,30,0.99,2.7,29.7,-12,0,1000
404.76,2600,0.77,9.78,8.6,38.3,29,0.94,-1.6,27.7,-10.5,0,980
